,0
169,1.0
170,1.0
171,1.0
172,7.503033159398962e-34
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,3.6344895507803775e-17
179,1.7581418301490302e-51
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.4619828080331394e-39
195,1.0
196,1.0
197,1.7221589750981537e-54
198,4.645631849428586e-41
199,1.7581418301490302e-51
200,1.0
201,1.0
202,1.0
203,5.230896963164986e-37
204,1.0
205,1.0
206,1.0
207,0.05628335427122033
208,1.0
209,1.0
210,1.534840956337247e-34
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.3775819160391757e-35
217,1.0
218,1.1070221298436868e-40
219,4.645631849428586e-41
220,1.0
221,6.298460478147263e-45
222,0.1450834989464055
223,1.0
224,1.0
225,7.503033159398748e-34
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,3.4278467328749464e-39
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,3.951780961155269e-26
239,1.0
240,1.0
241,1.0
242,1.0
243,6.592493418966569e-19
244,1.0
245,1.0
246,2.4564758217730857e-06
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,3.862435588040674e-44
254,8.00465151362742e-39
255,1.0
256,1.0
257,1.0
258,1.4619828080331394e-39
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,3.350901639553615e-42
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.7079953764664712e-32
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,2.2723768976047754e-22
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,3.693209192671601e-32
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,4.023540982375877e-46
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,3.862435588040674e-44
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,7.503033159398962e-34
344,1.0
345,8.00465151362742e-39
346,1.0
347,1.0
348,1.0
349,2.478332598038158e-47
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,2.330535425593769e-43
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,3.693209192671601e-32
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,9.44521256608667e-10
384,1.0
385,1.0
386,1.0
387,3.766256314651364e-18
388,1.0
389,2.330535425593769e-43
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,6.341347801996308e-17
397,1.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
405,5.696583450911177e-49
406,1.0
407,1.0
408,1.0
409,9.948485194554109e-38
410,1.4619828080331394e-39
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.4719324800682232e-48
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.3660260619270228e-28
431,1.0
432,1.4619828080331394e-39
433,1.0
434,1.0
435,1.0
436,1.7581418301490302e-51
437,1.0
438,1.0
439,1.0
440,1.1962507092103867e-22
441,1.0
442,7.503033159398748e-34
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,4.707554122646604e-15
460,1.0
461,1.0
462,1.0
463,1.0
464,6.21019218374958e-40
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,2.0215560237179947e-19
474,1.0
475,1.6429281059598607e-30
476,1.0
477,3.4278467328749464e-39
478,1.0
479,1.0
480,1.272250058882577e-53
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
501,1.0
502,1.0
503,1.5954513955974608e-46
504,1.0
505,1.0
506,1.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.1794861347337468e-17
512,1.0
513,1.0
514,1.0
515,1.0
516,1.0
517,1.0
518,1.0
519,1.0
520,1.0
521,1.9416689361709048e-41
522,1.0
523,1.0
524,1.0
525,1.0
526,1.0
527,1.0
528,1.0
529,6.899847514719609e-35
530,1.0
531,1.0
532,1.0
533,7.953586880290291e-32
534,1.0
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.2272691244330385e-50
541,1.0
542,1.0
543,1.5348409563372688e-34
544,1.0
545,1.0
546,4.6545307677995006e-51
547,1.0
548,1.0
549,1.0
550,1.0
551,2.2144552047314506e-14
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,6.605121638915791e-29
565,1.0
566,1.0
567,1.0
568,3.2751531072962586e-23
569,1.0
570,1.0
571,1.0
572,1.0
573,1.0
574,1.0
575,1.0
576,1.0
577,1.0
578,1.0
579,1.0
580,4.619037046411009e-11
581,1.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1.0
588,1.0
589,1.0
590,9.24781934839614e-53
591,1.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.1962507092103867e-22
597,7.540458686018747e-60
598,1.0
599,1.0
600,1.0
601,4.441371393628456e-07
602,1.0
603,1.0
604,1.0
605,8.429335260256009e-50
606,1.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
612,1.0
613,1.6488701863101656e-33
614,1.0
615,1.0
616,6.30087162869183e-47
617,1.0
618,1.0
619,1.0
620,1.0
621,1.0
622,1.0
623,1.0
624,1.0
625,1.0
626,3.427846732874849e-39
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
632,1.0
633,1.0
634,1.0
635,1.0
636,1.0
637,1.0
638,1.0
639,6.118137872210616e-36
640,1.0
641,1.0
642,1.0
643,1.8616814349931133e-38
644,1.0
645,1.0
646,1.0
647,1.0
648,1.0
649,1.0
650,1.0
651,1.0
652,1.0
653,1.0
654,1.0
655,1.0
656,9.817659564033844e-27
657,3.4278467328749464e-39
658,1.0
659,1.0
660,1.0
661,1.0
662,1.272250058882577e-53
663,1.1921986502814639e-36
664,1.3775819160391561e-35
665,1.0
666,1.0
667,1.0
668,3.222890985409031e-50
669,1.0
670,1.0
671,1.0
672,1.0
673,1.0
674,1.0
675,1.0
676,1.0
677,1.0
678,1.0
679,1.0
680,1.0
681,1.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,6.298460478147263e-45
688,1.0
689,1.0
